År, CO2-utslipp (tonn per innbygger)
1858,0.0021449339699421166
1859,0.0034464438089663037
1860,0.003467965153921105
1861,0.0026703216256638196
1862,0.002942903081687276
1863,0.003248460342664151
1864,0.0030591245726104476
1865,0.002993839383601965
1866,0.003364887256444044
1878,0.00883249378196982
1879,0.008348991505174583
1880,0.009298809206605977
1881,0.00903016971644204
1882,0.010685335560535558
1883,0.011871974913806224
1884,0.013161737218143232
1885,0.011834803988516567
1886,0.013224857536023779
1887,0.014587255541552428
1888,0.01612775770488194
1889,0.018887566472804335
1890,0.020742035171749128
1891,0.02223546819629612
1892,0.02432416504084733
1893,0.025493437622047983
1894,0.025894249174107698
1895,0.03229790696800072
1896,0.0347967424793542
1897,0.03750253384685963
1898,0.04137033349743573
1899,0.04540098003621126
1900,0.05369217019189288
1901,0.0589694997324308
1902,0.06475510636664975
1903,0.06565219789906053
1904,0.07305959382918922
1905,0.07438299028101464
1906,0.08556483115935767
1907,0.09507306286638419
1908,0.1083104998553802
1909,0.104161529534851
1910,0.1012591050168426
1911,0.10638866908566015
1912,0.12196411813994032
1913,0.1338929283811857
1914,0.13424383187712138
1915,0.13944095304978057
1916,0.14014736717395007
1917,0.145683019670967
1918,0.16300180297249953
1919,0.1769672840818079
1920,0.14249899296214674
1921,0.15239907265134173
1922,0.14911483948044055
1923,0.1526287527178114
1924,0.16247791832358333
1925,0.1594035895388088
1926,0.15805152661044047
1927,0.16483572262133647
1928,0.157718253003092
1929,0.16280683619065678
1930,0.16378661543752446
1931,0.14811045388816005
1932,0.13595869025173637
1933,0.13177471669999102
1934,0.14527322847586366
1935,0.14985888163419053
1936,0.14541257023583792
1937,0.1590243055886566
1938,0.1757666112298641
1939,0.1698743630196001
1940,0.17787278519942765
1941,0.1795192473990495
1942,0.17719755437602758
1943,0.1525366037891691
1944,0.15419409062684172
1945,0.16906635502341602
1946,0.16492357942428285
1947,0.1659645568996196
1948,0.16378239933681865
1949,0.16874200810084292
1950,0.17698583250086136
1951,0.18233904617357313
1952,0.18902443290184529
1953,0.189302590862205
1954,0.19558734667059444
1955,0.20845274035054545
1956,0.21190027453999183
1957,0.23334714601565315
1958,0.23933716040781042
1959,0.24857175731550563
1960,0.2676208561551931
1961,0.28368367934598915
1962,0.3058172601354599
1963,0.32176232395553833
1964,0.3081509873840606
1965,0.33250594124484895
1966,0.3368869958844769
1967,0.33069331106541716
1968,0.3520219922285508
1969,0.3505910023930663
1970,0.3507428995521277
1971,0.36157969781614485
1972,0.37375116922704754
1973,0.3759475108383735
1974,0.3797364853590541
1975,0.40313288791792
1976,0.41173054576579754
1977,0.42557399673036783
1978,0.4217814924137752
1979,0.4323589579780183
1980,0.447075686910046
1981,0.47122202931285223
1982,0.475002895875667
1983,0.502617764841377
1984,0.5032762494148947
1985,0.5408945446045205
1986,0.5674323253699367
1987,0.5929949936826584
1988,0.6269863981783321
1989,0.6738933602776335
1990,0.7060514883795034
1991,0.7368571416509349
1992,0.7684499773640808
1993,0.7794814713672715
1994,0.8082069579125614
1995,0.8418316815116045
1996,0.8946034589304191
1997,0.9142265383285285
1998,0.9157075823082265
1999,0.9587451635156926
2000,0.9745042088687182
2001,0.9633863103546845
2002,0.9581810756925471
2003,0.9823216114207803
2004,1.0140953213812123
2005,1.0544921041670439
2006,1.1043884391664922
2007,1.1749856013023139
2008,1.2892725603651027
2009,1.4125678749287482
2010,1.3773423147232366
2011,1.4492352096056091
2012,1.56349994390813
2013,1.556867294020995
2014,1.6975905394518658
2015,1.7541248667955764
2016,1.7906545253709487
2017,1.8353602102222975
2018,1.9621606806349394

