Date hr VCD Error 
20021201 00 348.0 22.0 
20021201 06 351.6 22.4 
20021201 12 353.8 23.0 
20021201 18 350.8 23.4 
20021202 00 348.2 23.4 
20021202 06 346.8 24.0 
20021202 12 344.1 24.0 
20021202 18 342.8 24.4 
20021203 00 341.7 24.4 
20021203 06 336.5 24.4 
20021203 12 328.6 25.0 
20021203 18 322.9 25.0 
20021204 00 327.5 26.0 
20021204 06 317.4 8.8 
20021204 12 319.7 11.4 
20021204 18 325.9 12.8 
20021205 00 321.0 14.0 
20021205 06 319.8 15.0 
20021205 12 318.9 16.0 
20021205 18 319.5 17.4 
20021206 00 318.0 18.4 
20021206 06 321.0 19.0 
20021206 12 323.2 20.0 
20021206 18 325.7 21.0 
20021207 00 329.4 22.0 
20021207 06 334.3 23.0 
20021207 12 338.8 24.0 
20021207 18 338.3 24.0 
20021208 00 338.3 25.0 
20021208 06 342.2 26.0 
20021208 12 357.7 26.4 
20021208 18 361.2 27.0 
20021209 00 351.2 27.0 
20021209 06 346.9 27.0 
20021209 12 347.5 28.0 
20021209 18 345.5 28.0 
20021210 00 345.7 28.0 
20021210 06 318.8 5.4 
20021210 12 326.6 7.0 
20021210 18 323.9 11.0 
20021211 00 323.9 13.0 
20021211 06 323.2 14.0 
20021211 12 320.3 15.0 
20021211 18 320.6 16.0 
20021212 00 319.0 17.0 
20021212 06 317.1 18.0 
20021212 12 315.8 19.0 
20021212 18 314.0 19.0 
20021213 00 313.1 20.0 
20021213 06 314.7 20.8 
20021213 12 317.2 21.0 
20021213 18 318.3 22.0 
20021214 00 317.1 22.0 
20021214 06 317.7 23.0 
20021214 12 316.5 23.0 
20021214 18 315.7 24.0 
20021215 00 312.4 23.0 
20021215 06 291.6 8.0 
20021215 12 305.2 7.0 
20021215 18 307.8 11.0 
20021216 00 308.2 13.0 
20021216 06 289.7 5.4 
20021216 12 294.0 7.0 
20021216 18 301.1 10.4 
20021217 00 305.8 13.0 
20021217 06 297.2 7.0 
20021217 12 301.9 11.0 
20021217 18 306.9 13.0 
20021218 00 308.6 14.4 
20021218 06 308.9 16.0 
20021218 12 305.8 17.0 
20021218 18 304.2 18.0 
20021219 00 304.6 19.0 
20021219 06 307.5 20.0 
20021219 12 310.5 20.4 
20021219 18 312.4 21.0 
20021220 00 312.5 22.0 
20021220 06 311.4 8.3 
20021220 12 312.4 6.0 
20021220 18 310.0 10.0 
20021221 00 312.4 9.0 
20021221 06 304.8 6.0 
20021221 12 311.1 6.0 
20021221 18 311.0 10.0 
20021222 00 311.2 11.0 
20021222 06 308.6 3.7 
20021222 12 317.2 6.0 
20021222 18 314.1 10.0 
20021223 00 310.0 12.0 
20021223 06 300.5 5.4 
20021223 12 304.0 6.0 
20021223 18 301.7 10.0 
20021224 00 298.5 8.9 
20021224 06 295.8 6.0 
20021224 12 303.5 6.0 
20021224 18 304.5 10.0 
20021225 00 305.1 11.6 
20021225 06 293.2 5.4 
20021225 12 296.0 6.0 
20021225 18 301.3 10.0 
20021226 00 302.4 12.0 
20021226 06 302.5 6.0 
20021226 12 305.8 6.0 
20021226 18 306.5 10.0 
20021227 00 298.7 7.9 
20021227 06 299.2 6.0 
20021227 12 303.9 6.0 
20021227 18 301.7 10.0 
20021228 00 299.6 11.0 
20021228 06 292.5 4.4 
20021228 12 301.3 6.0 
20021228 18 309.2 10.0 
20021229 00 315.0 12.0 
20021229 06 296.8 5.4 
20021229 12 308.9 6.0 
20021229 18 310.0 10.0 
20021230 00 290.8 7.4 
20021230 06 285.9 6.0 
20021230 12 290.4 6.0 
20021230 18 295.4 10.0 
20021231 00 298.6 12.3 
20021231 06 300.7 14.0 
20021231 12 302.3 12.0 
20021231 18 308.4 13.4 
20031201 00 273.6 11.0 
20031201 06 274.0 5.4 
20031201 12 276.8 6.0 
20031201 18 283.8 10.0 
20031202 00 290.6 12.0 
20031202 06 298.0 6.4 
20031202 12 285.0 6.0 
20031202 18 281.4 10.0 
20031203 00 290.2 10.0 
20031203 06 295.4 6.4 
20031203 12 299.5 10.4 
20031203 18 302.6 13.0 
20031204 00 299.6 14.0 
20031204 06 300.3 16.0 
20031204 12 302.1 17.0 
20031204 18 297.4 18.0 
20031205 00 297.8 18.0 
20031205 06 298.2 19.0 
20031205 12 294.9 19.0 
20031205 18 291.5 19.6 
20031206 00 287.9 20.0 
20031206 06 287.5 20.0 
20031206 12 295.4 21.0 
20031206 18 301.3 21.0 
20031207 00 307.4 19.0 
20031207 06 302.1 5.4 
20031207 12 297.9 6.0 
20031207 18 293.7 10.0 
20031208 00 294.7 12.0 
20031208 06 291.5 6.0 
20031208 12 283.3 6.0 
20031208 18 280.7 10.0 
20031209 00 293.6 8.9 
20031209 06 296.2 6.4 
20031209 12 288.0 6.0 
20031209 18 288.4 10.0 
20031210 00 295.7 11.0 
20031210 06 290.1 4.8 
20031210 12 284.4 6.0 
20031210 18 285.2 10.0 
20031211 00 286.6 12.0 
20031211 06 291.3 6.0 
20031211 12 283.0 6.0 
20031211 18 283.4 10.0 
20031212 00 290.6 7.9 
20031212 06 292.3 6.4 
20031212 12 295.0 6.0 
20031212 18 302.1 10.0 
20031213 00 306.6 11.0 
20031213 06 313.8 5.3 
20031213 12 312.1 6.0 
20031213 18 310.3 10.0 
20031214 00 309.8 12.0 
20031214 06 308.4 9.0 
20031214 12 307.5 12.0 
20031214 18 307.9 13.0 
20031215 00 309.2 15.0 
20031215 06 311.1 6.4 
20031215 12 310.3 6.0 
20031215 18 306.8 10.0 
20031216 00 302.6 11.0 
20031216 06 298.3 7.0 
20031216 12 292.4 6.0 
20031216 18 286.0 10.0 
20031217 00 288.6 12.0 
20031217 06 292.3 5.4 
20031217 12 295.7 6.0 
20031217 18 289.7 10.0 
20031218 00 295.5 6.3 
20031218 06 300.3 7.0 
20031218 12 305.4 6.0 
20031218 18 307.7 10.0 
20031219 00 309.7 12.0 
20031219 06 310.1 13.0 
20031219 12 306.9 14.0 
20031219 18 305.8 15.0 
20031220 00 307.5 16.0 
20031220 06 310.0 11.8 
20031220 12 311.1 6.0 
20031220 18 304.7 10.0 
20031221 00 299.2 12.0 
20031221 06 297.8 14.0 
20031221 12 299.9 15.0 
20031221 18 303.1 16.0 
20031222 00 299.8 17.0 
20031222 06 297.3 17.0 
20031222 12 295.4 18.0 
20031222 18 295.8 19.0 
20031223 00 296.1 19.4 
20031223 06 294.1 20.0 
20031223 12 291.9 20.6 
20031223 18 290.0 21.0 
20031224 00 287.0 21.0 
20031224 06 282.6 6.0 
20031224 12 294.9 6.0 
20031224 18 302.9 10.0 
20031225 00 312.6 8.9 
20031225 06 301.0 6.4 
20031225 12 297.0 6.0 
20031225 18 294.8 10.0 
20031226 00 300.1 11.0 
20031226 06 296.7 5.4 
20031226 12 296.9 6.0 
20031226 18 298.1 10.0 
20031227 00 300.8 12.0 
20031227 06 298.6 6.0 
20031227 12 283.5 6.0 
20031227 18 282.8 10.0 
20031228 00 282.2 8.7 
20031228 06 284.7 6.4 
20031228 12 283.4 6.0 
20031228 18 290.2 10.0 
20031229 00 300.5 11.0 
20031229 06 299.2 4.8 
20031229 12 296.4 6.0 
20031229 18 290.7 10.0 
20031230 00 289.9 12.0 
20031230 06 288.3 6.0 
20031230 12 282.6 6.0 
20031230 18 281.6 10.0 
20031231 00 287.8 7.7 
20031231 06 290.8 6.4 
20031231 12 297.8 6.0 
20031231 18 293.4 10.0 
20041201 00 263.8 11.0 
20041201 06 256.2 4.6 
20041201 12 251.6 8.0 
20041201 18 253.3 11.0 
20041202 00 259.9 5.9 
20041202 06 247.3 5.0 
20041202 12 239.8 6.0 
20041202 18 238.0 10.0 
20041203 00 245.3 10.0 
20041203 06 237.0 8.0 
20041203 12 225.8 6.0 
20041203 18 224.7 10.0 
20041204 00 233.0 11.6 
20041204 06 227.3 3.8 
20041204 12 227.1 6.0 
20041204 18 225.7 10.0 
20041205 00 228.4 12.0 
20041205 06 237.1 5.0 
20041205 12 235.3 6.0 
20041205 18 243.1 10.0 
20041206 00 247.3 8.9 
20041206 06 248.3 6.0 
20041206 12 259.4 6.0 
20041206 18 268.3 10.0 
20041207 00 274.0 11.0 
20041207 06 272.7 4.4 
20041207 12 277.9 9.0 
20041207 18 282.0 11.0 
20041208 00 287.0 12.0 
20041208 06 290.5 5.4 
20041208 12 280.7 6.0 
20041208 18 289.2 10.6 
20041209 00 293.3 8.3 
20041209 06 295.2 7.0 
20041209 12 279.7 7.0 
20041209 18 287.8 11.0 
20041210 00 299.6 12.0 
20041210 06 294.0 4.4 
20041210 12 292.2 7.6 
20041210 18 297.2 11.0 
20041211 00 312.0 13.0 
20041211 06 312.5 5.0 
20041211 12 309.4 6.0 
20041211 18 316.7 11.0 
20041212 00 329.9 7.7 
20041212 06 313.8 6.0 
20041212 12 282.2 6.0 
20041212 18 278.6 11.0 
20041213 00 297.2 11.0 
20041213 06 300.5 6.0 
20041213 12 303.1 6.0 
20041213 18 312.4 11.0 
20041214 00 315.2 12.0 
20041214 06 312.1 7.0 
20041214 12 303.9 6.0 
20041214 18 305.2 11.0 
20041215 00 305.8 6.3 
20041215 06 306.5 6.0 
20041215 12 299.9 6.0 
20041215 18 303.1 11.0 
20041216 00 307.3 10.6 
20041216 06 296.9 6.0 
20041216 12 282.8 6.0 
20041216 18 288.8 11.0 
20041217 00 289.8 13.0 
20041217 06 280.2 4.4 
20041217 12 273.7 6.0 
20041217 18 277.9 11.0 
20041218 00 271.7 5.9 
20041218 06 254.4 5.4 
20041218 12 250.6 6.0 
20041218 18 251.3 10.0 
20041219 00 270.5 9.6 
20041219 06 282.3 6.4 
20041219 12 289.8 7.0 
20041219 18 300.8 11.0 
20041220 00 305.7 12.0 
20041220 06 295.0 5.4 
20041220 12 286.3 6.0 
20041220 18 293.2 10.0 
20041221 00 293.9 13.0 
20041221 06 301.9 8.0 
20041221 12 290.5 6.0 
20041221 18 303.8 10.0 
20041222 00 307.5 8.9 
20041222 06 317.0 10.0 
20041222 12 297.8 6.0 
20041222 18 306.8 10.0 
20041223 00 318.0 11.0 
20041223 06 305.0 4.4 
20041223 12 307.8 6.0 
20041223 18 308.4 10.0 
20041224 00 311.3 13.0 
20041224 06 312.4 14.0 
20041224 12 308.1 6.0 
20041224 18 310.7 10.0 
20041225 00 308.3 8.7 
20041225 06 305.4 8.0 
20041225 12 305.8 6.0 
20041225 18 312.4 10.0 
20041226 00 317.0 13.0 
