Date hr VCD Error 
20020901 00 176.1 16.0 
20020901 06 179.7 16.6 
20020901 12 186.2 18.6 
20020901 18 192.0 19.0 
20020902 00 194.8 19.0 
20020902 06 198.8 19.0 
20020902 12 203.7 15.6 
20020902 18 196.0 16.0 
20020903 00 192.6 15.0 
20020903 06 190.4 15.0 
20020903 12 195.3 13.2 
20020903 18 191.4 12.8 
20020904 00 195.8 11.6 
20020904 06 191.8 11.4 
20020904 12 209.3 10.0 
20020904 18 210.5 11.0 
20020905 00 200.3 11.0 
20020905 06 202.4 10.6 
20020905 12 215.8 9.6 
20020905 18 210.9 9.0 
20020906 00 207.9 9.0 
20020906 06 211.7 10.0 
20020906 12 231.2 9.6 
20020906 18 226.3 8.0 
20020907 00 219.3 9.0 
20020907 06 223.3 11.0 
20020907 12 239.9 10.6 
20020907 18 240.7 9.6 
20020908 00 252.3 11.6 
20020908 06 251.3 14.0 
20020908 12 248.3 15.4 
20020908 18 244.9 16.0 
20020909 00 244.0 17.0 
20020909 06 245.6 17.0 
20020909 12 238.6 17.0 
20020909 18 231.1 17.0 
20020910 00 226.2 17.0 
20020910 06 221.1 17.0 
20020910 12 224.6 18.0 
20020910 18 221.2 18.4 
20020911 00 214.9 19.0 
20020911 06 211.5 19.0 
20020911 12 207.7 14.0 
20020911 18 213.1 11.2 
20020912 00 208.8 11.6 
20020912 06 203.6 13.6 
20020912 12 209.5 7.2 
20020912 18 209.5 10.2 
20020913 00 193.5 12.6 
20020913 06 179.2 14.0 
20020913 12 168.4 8.2 
20020913 18 166.5 11.0 
20020914 00 167.5 12.0 
20020914 06 167.7 13.0 
20020914 12 162.7 10.6 
20020914 18 162.9 12.6 
20020915 00 170.7 13.6 
20020915 06 175.0 14.0 
20020915 12 177.7 6.6 
20020915 18 179.3 9.0 
20020916 00 188.2 11.6 
20020916 06 201.1 13.0 
20020916 12 202.4 5.6 
20020916 18 184.7 8.6 
20020917 00 189.7 11.4 
20020917 06 187.8 12.8 
20020917 12 177.3 5.6 
20020917 18 167.8 9.0 
20020918 00 172.9 11.6 
20020918 06 179.3 13.0 
20020918 12 168.7 6.0 
20020918 18 174.1 8.6 
20020919 00 175.4 11.0 
20020919 06 175.3 13.0 
20020919 12 161.4 5.0 
20020919 18 163.3 8.6 
20020920 00 160.3 11.6 
20020920 06 171.7 13.0 
20020920 12 155.6 5.0 
20020920 18 157.4 7.6 
20020921 00 167.5 10.0 
20020921 06 172.3 11.0 
20020921 12 163.7 5.0 
20020921 18 179.4 7.6 
20020922 00 163.8 9.0 
20020922 06 163.1 10.8 
20020922 12 159.3 4.2 
20020922 18 162.6 7.0 
20020923 00 170.9 9.0 
20020923 06 193.1 10.0 
20020923 12 220.2 12.0 
20020923 18 238.7 13.0 
20020924 00 248.2 13.0 
20020924 06 269.0 14.0 
