survived,pclass,sex,age,sibsp,parch,fare,embarked,class,deck,embark_town,alive,alone
0,3,0,22.0,1,0,7.25,S,Third,,Southampton,no,False
1,1,1,38.0,1,0,71.2833,C,First,C,Cherbourg,yes,False
1,3,1,26.0,0,0,7.925,S,Third,,Southampton,yes,True
1,1,1,35.0,1,0,53.1,S,First,C,Southampton,yes,False
0,3,0,35.0,0,0,8.05,S,Third,,Southampton,no,True
0,3,0,,0,0,8.4583,Q,Third,,Queenstown,no,True
0,1,0,54.0,0,0,51.8625,S,First,E,Southampton,no,True
0,3,0,2.0,3,1,21.075,S,Third,,Southampton,no,False
1,3,1,27.0,0,2,11.1333,S,Third,,Southampton,yes,False
1,2,1,14.0,1,0,30.0708,C,Second,,Cherbourg,yes,False
1,3,1,4.0,1,1,16.7,S,Third,G,Southampton,yes,False
1,1,1,58.0,0,0,26.55,S,First,C,Southampton,yes,True
0,3,0,20.0,0,0,8.05,S,Third,,Southampton,no,True
0,3,0,39.0,1,5,31.275,S,Third,,Southampton,no,False
0,3,1,14.0,0,0,7.8542,S,Third,,Southampton,no,True
1,2,1,55.0,0,0,16.0,S,Second,,Southampton,yes,True
0,3,0,2.0,4,1,29.125,Q,Third,,Queenstown,no,False
1,2,0,,0,0,13.0,S,Second,,Southampton,yes,True
0,3,1,31.0,1,0,18.0,S,Third,,Southampton,no,False
1,3,1,,0,0,7.225,C,Third,,Cherbourg,yes,True
0,2,0,35.0,0,0,26.0,S,Second,,Southampton,no,True
1,2,0,34.0,0,0,13.0,S,Second,D,Southampton,yes,True
1,3,1,15.0,0,0,8.0292,Q,Third,,Queenstown,yes,True
1,1,0,28.0,0,0,35.5,S,First,A,Southampton,yes,True
0,3,1,8.0,3,1,21.075,S,Third,,Southampton,no,False
1,3,1,38.0,1,5,31.3875,S,Third,,Southampton,yes,False
0,3,0,,0,0,7.225,C,Third,,Cherbourg,no,True
0,1,0,19.0,3,2,263.0,S,First,C,Southampton,no,False
1,3,1,,0,0,7.8792,Q,Third,,Queenstown,yes,True
0,3,0,,0,0,7.8958,S,Third,,Southampton,no,True
0,1,0,40.0,0,0,27.7208,C,First,,Cherbourg,no,True
1,1,1,,1,0,146.5208,C,First,B,Cherbourg,yes,False
1,3,1,,0,0,7.75,Q,Third,,Queenstown,yes,True
0,2,0,66.0,0,0,10.5,S,Second,,Southampton,no,True
0,1,0,28.0,1,0,82.1708,C,First,,Cherbourg,no,False
0,1,0,42.0,1,0,52.0,S,First,,Southampton,no,False
1,3,0,,0,0,7.2292,C,Third,,Cherbourg,yes,True
0,3,0,21.0,0,0,8.05,S,Third,,Southampton,no,True
0,3,1,18.0,2,0,18.0,S,Third,,Southampton,no,False
1,3,1,14.0,1,0,11.2417,C,Third,,Cherbourg,yes,False
0,3,1,40.0,1,0,9.475,S,Third,,Southampton,no,False
0,2,1,27.0,1,0,21.0,S,Second,,Southampton,no,False
0,3,0,,0,0,7.8958,C,Third,,Cherbourg,no,True
1,2,1,3.0,1,2,41.5792,C,Second,,Cherbourg,yes,False
1,3,1,19.0,0,0,7.8792,Q,Third,,Queenstown,yes,True
0,3,0,,0,0,8.05,S,Third,,Southampton,no,True
0,3,0,,1,0,15.5,Q,Third,,Queenstown,no,False
1,3,1,,0,0,7.75,Q,Third,,Queenstown,yes,True
0,3,0,,2,0,21.6792,C,Third,,Cherbourg,no,False
0,3,1,18.0,1,0,17.8,S,Third,,Southampton,no,False
0,3,0,7.0,4,1,39.6875,S,Third,,Southampton,no,False
0,3,0,21.0,0,0,7.8,S,Third,,Southampton,no,True
1,1,1,49.0,1,0,76.7292,C,First,D,Cherbourg,yes,False
1,2,1,29.0,1,0,26.0,S,Second,,Southampton,yes,False
0,1,0,65.0,0,1,61.9792,C,First,B,Cherbourg,no,False
1,1,0,,0,0,35.5,S,First,C,Southampton,yes,True
1,2,1,21.0,0,0,10.5,S,Second,,Southampton,yes,True
0,3,0,28.5,0,0,7.2292,C,Third,,Cherbourg,no,True
1,2,1,5.0,1,2,27.75,S,Second,,Southampton,yes,False
0,3,0,11.0,5,2,46.9,S,Third,,Southampton,no,False
0,3,0,22.0,0,0,7.2292,C,Third,,Cherbourg,no,True
1,1,1,38.0,0,0,80.0,,First,B,,yes,True
0,1,0,45.0,1,0,83.475,S,First,C,Southampton,no,False
0,3,0,4.0,3,2,27.9,S,Third,,Southampton,no,False
0,1,0,,0,0,27.7208,C,First,,Cherbourg,no,True
1,3,0,,1,1,15.2458,C,Third,,Cherbourg,yes,False
1,2,1,29.0,0,0,10.5,S,Second,F,Southampton,yes,True
