# Titrering av eddiksyre med NaOH
Volum NaOH (mL)	pH
0.0,	2.77
3.0,	3.71
6.1,	4.08
9.0,	4.29
10.1,	4.36
10.5,	4.39
11.0,	4.41
11.5,	4.45
12.1,	4.48
12.5,	4.51
13.0,	4.54
13.5,	4.57
14.0,	4.6
14.5,	4.63
15.0,	4.65
15.5,	4.68
16.1,	4.71
16.5,	4.74
17.1,	4.78
17.6,	4.81
18.0,	4.83
18.5,	4.86
19.0,	4.89
19.5,	4.92
20.0,	4.96
21.0,	5.03
22.0,	5.1
23.0,	5.17
24.0,	5.26
25.1,	5.36
26.0,	5.47
27.0,	5.6
28.0,	5.74
29.1,	6.07
29.5,	6.22
29.7,	6.33
30.0,	6.55
30.1,	6.71
30.3,	6.89
30.4,	7.16
30.5,	7.57
30.6,	7.98
30.8,	8.29
31.1,	8.73
31.2,	8.85
31.3,	8.96
31.4,	9.05
31.5,	9.14
31.6,	9.22
31.9,	9.43
32.1,	9.55
32.4,	9.7
32.5,	9.78
33.0,	10.14
33.5,	10.53
34.0,	10.97
34.5,	11.18
35.0,	11.35
35.5,	11.47
36.0,	11.55
36.5,	11.63
37.0,	11.69
37.5,	11.74
38.0,	11.79
38.5,	11.83
39.0,	11.87
41.0,	11.99
43.0,	12.07
45.0,	12.14
47.0,	12.19
49.0,	12.24
50.0,	12.26
