Dato,Kumulativt antall,Nye tilfeller,Dager etter 21.02.2020
21.02.2020,1,1,0
22.02.2020,1,0,1
23.02.2020,1,0,2
24.02.2020,1,0,3
25.02.2020,1,0,4
26.02.2020,4,3,5
27.02.2020,6,2,6
28.02.2020,15,9,7
29.02.2020,21,6,8
01.03.2020,31,10,9
02.03.2020,43,12,10
03.03.2020,74,31,11
04.03.2020,107,33,12
05.03.2020,140,33,13
06.03.2020,164,24,14
07.03.2020,183,19,15
08.03.2020,248,65,16
09.03.2020,495,247,17
10.03.2020,736,241,18
11.03.2020,911,175,19
12.03.2020,1117,206,20
13.03.2020,1264,147,21
14.03.2020,1364,100,22
15.03.2020,1463,99,23
16.03.2020,1643,180,24
17.03.2020,1819,176,25
18.03.2020,2032,213,26
19.03.2020,2271,239,27
20.03.2020,2579,308,28
21.03.2020,2753,174,29
22.03.2020,2901,148,30
23.03.2020,3197,296,31
24.03.2020,3510,313,32
25.03.2020,3802,292,33
26.03.2020,4100,298,34
27.03.2020,4362,262,35
28.03.2020,4528,166,36
29.03.2020,4634,106,37
30.03.2020,4898,264,38
31.03.2020,5106,208,39
01.04.2020,5304,198,40
02.04.2020,5502,198,41
03.04.2020,5666,164,42
04.04.2020,5754,88,43
05.04.2020,5826,72,44
06.04.2020,5985,159,45
07.04.2020,6125,140,46
08.04.2020,6231,106,47
09.04.2020,6334,103,48
10.04.2020,6402,68,49
11.04.2020,6512,110,50
12.04.2020,6588,76,51
13.04.2020,6665,77,52
14.04.2020,6787,122,53
15.04.2020,6890,103,54
16.04.2020,6970,80,55
17.04.2020,7078,108,56
18.04.2020,7127,49,57
19.04.2020,7163,36,58
20.04.2020,7247,84,59
21.04.2020,7325,78,60
22.04.2020,7402,77,61
23.04.2020,7471,69,62
24.04.2020,7524,53,63
25.04.2020,7549,25,64
26.04.2020,7586,37,65
27.04.2020,7657,71,66
28.04.2020,7707,50,67
29.04.2020,7746,39,68
30.04.2020,7785,39,69
01.05.2020,7828,43,70
02.05.2020,7851,23,71
03.05.2020,7895,44,72
04.05.2020,7940,45,73
05.05.2020,7984,44,74
06.05.2020,8023,39,75
07.05.2020,8052,29,76
08.05.2020,8094,42,77
09.05.2020,8105,11,78
10.05.2020,8117,12,79
11.05.2020,8142,25,80
12.05.2020,8161,19,81
13.05.2020,8180,19,82
14.05.2020,8204,24,83
15.05.2020,8227,23,84
16.05.2020,8240,13,85
17.05.2020,8244,4,86
18.05.2020,8261,17,87
19.05.2020,8281,20,88
20.05.2020,8300,19,89
21.05.2020,8314,14,90
22.05.2020,8340,26,91
23.05.2020,8346,6,92
24.05.2020,8352,6,93
25.05.2020,8370,18,94
26.05.2020,8382,12,95
27.05.2020,8400,18,96
28.05.2020,8416,16,97
29.05.2020,8432,16,98
30.05.2020,8432,0,99
31.05.2020,8438,6,100
01.06.2020,8445,7,101
02.06.2020,8476,31,102
03.06.2020,8488,12,103
04.06.2020,8505,17,104
05.06.2020,8535,30,105
06.06.2020,8543,8,106
07.06.2020,8552,9,107
08.06.2020,8571,19,108
09.06.2020,8584,13,109
10.06.2020,8598,14,110
11.06.2020,8609,11,111
12.06.2020,8622,13,112
13.06.2020,8629,7,113
14.06.2020,8635,6,114
15.06.2020,8653,18,115
16.06.2020,8689,36,116
17.06.2020,8704,15,117
18.06.2020,8717,13,118
19.06.2020,8735,18,119
20.06.2020,8741,6,120
21.06.2020,8745,4,121
22.06.2020,8773,28,122
23.06.2020,8786,13,123
24.06.2020,8807,21,124
25.06.2020,8824,17,125
26.06.2020,8846,22,126
27.06.2020,8856,10,127
28.06.2020,8857,1,128
29.06.2020,8883,26,129
30.06.2020,8894,11,130
01.07.2020,8902,8,131
02.07.2020,8911,9,132
03.07.2020,8921,10,133
04.07.2020,8923,2,134
05.07.2020,8924,1,135
06.07.2020,8938,14,136
07.07.2020,8948,10,137
08.07.2020,8959,11,138
09.07.2020,8967,8,139
10.07.2020,8980,13,140
11.07.2020,8984,4,141
12.07.2020,8989,5,142
13.07.2020,9008,19,143
14.07.2020,9016,8,144
15.07.2020,9022,6,145
16.07.2020,9026,4,146
17.07.2020,9038,12,147
18.07.2020,9039,1,148
19.07.2020,9042,3,149
20.07.2020,9063,21,150
